,dateSold,propertyType,lotAreaValue,address,imgSrc,price,listingDateTime,longitude,latitude,listingStatus,zpid,livingArea,daysOnZillow,bedrooms,bathrooms,country,currency,lotAreaUnit,hasImage
0,1644566400000,SINGLE_FAMILY,5.02,"10610 Vickers Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/64a9f210f037dc52f2508ee16eb69e07-p_e.jpg,3000000,,-77.31457,38.91275,RECENTLY_SOLD,51766633,5138.0,-1,4.0,6.0,USA,USD,sqft,True
1,1644566400000,SINGLE_FAMILY,10018.8,"1921 Aubrey Place Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/f3015597ee8082357d1859a0ca3ec755-p_e.jpg,875000,,-77.28347,38.919266,RECENTLY_SOLD,51745950,2226.0,-1,5.0,3.0,USA,USD,sqft,True
2,1644566400000,SINGLE_FAMILY,0.94,"9925 Coach Rd, Vienna, VA 22181",https://photos.zillowstatic.com/fp/8ef8d2655b9b60436286f3012f267391-p_e.jpg,903500,,-77.29022,38.916992,RECENTLY_SOLD,51745471,2850.0,-1,4.0,3.0,USA,USD,sqft,True
3,1644566400000,SINGLE_FAMILY,0.28,"2315 Tanglevale Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/d567ec1a74d4f4b1c474f0294850f2f9-p_e.jpg,901000,,-77.288086,38.901722,RECENTLY_SOLD,51771108,2521.0,-1,4.0,3.0,USA,USD,acres,True
4,1644480000000,SINGLE_FAMILY,0.36,"518 Walker St SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/e6be08a30e745b95f2140e0c19a010d6-p_e.jpg,795000,,-77.253296,38.88193,RECENTLY_SOLD,51803746,1433.0,-1,0.0,0.0,USA,USD,acres,True
5,1644220800000,SINGLE_FAMILY,0.52,"10407 Stone Ridge Ln, Vienna, VA 22182",https://photos.zillowstatic.com/fp/b365ea04de8d413ed72048de380df1fb-p_e.jpg,1115000,,-77.30529,38.94098,RECENTLY_SOLD,51743345,3036.0,-1,4.0,3.0,USA,USD,acres,True
6,1644220800000,SINGLE_FAMILY,0.57,"1696 Brittenford Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/29b5b8dd75ea0cfc47aaa6959c8623d9-p_e.jpg,1653000,,-77.30145,38.946682,RECENTLY_SOLD,59786220,6058.0,-1,5.0,5.0,USA,USD,acres,True
7,1643961600000,SINGLE_FAMILY,0.32,"609 Gibson Dr SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/51c59bc4c0ea9ca69e6e2ca1224732bd-p_e.jpg,3700,,-77.26735,38.889442,RECENTLY_SOLD,51772186,3279.0,-1,6.0,4.0,USA,USD,acres,True
8,1643356800000,SINGLE_FAMILY,1.08,"1621 Hicks Dr, Vienna, VA 22182",https://photos.zillowstatic.com/fp/bd803fd9554445adb261013debcf2dfe-p_e.jpg,830000,,-77.26844,38.932655,RECENTLY_SOLD,51744914,2956.0,-1,4.0,2.0,USA,USD,sqft,True
9,1643356800000,SINGLE_FAMILY,0.28,"2108 Woodford Rd, Vienna, VA 22182",https://photos.zillowstatic.com/fp/31b94cd88b6ea940e07be127f1375916-p_e.jpg,960000,,-77.23964,38.90522,RECENTLY_SOLD,51773712,3359.0,-1,5.0,3.0,USA,USD,acres,True
